Season,Salary Cap,Total Salary
1990,11871000.0,10872703.703703703
1991,12500000.0,13688222.222222222
1992,14000000.0,15888377.037037037
1993,15175000.0,18530902.407407407
1994,15964000.0,22174957.0
1995,23000000.0,24974743.44827586
1996,24363000.0,27712800.0
1997,26900000.0,32708207.20689655
1998,30000000.0,36892180.655172415
1999,34000000.0,45314984.0
