Season,Salary Cap,Total Salary
2010,58044000.0,67529008.1
2011,58044000.0,67299567.56666666
2012,58044000.0,70503754.76666667
2013,58679000.0,71669986.33333333
2014,63065000.0,73862841.33333333
2015,70000000.0,79261792.63333334
2016,94143000.0,95461491.33333333
2017,99093000.0,111941754.46666667
