Season,Salary Cap,Total Salary
2000,35500000.0,51853885.862068966
2001,42500000.0,53744919.10344828
2002,40271000.0,57580406.79310345
2003,43840000.0,57676464.89655172
2004,43870000.0,59122201.233333334
2005,49500000.0,63248999.36666667
2006,53135000.0,64645788.233333334
2007,55630000.0,68796241.13333334
2008,58680000.0,71950424.6
2009,57700000.0,70437138.5
