Player,Salary
Stephen Curry,34682550.0
Paul Millsap,31269231.0
Gordon Hayward,29727900.0
Blake Griffin,29512900.0
LeBron James,29073219.666666668
Kyle Lowry,28703704.0
Russell Westbrook,27535354.0
Mike Conley,27535354.0
James Harden,27419749.5
DeMar DeRozan,27140037.5
Al Horford,27137252.5
Kobe Bryant,26142282.833333332
Kevin Durant,25770050.0
Jrue Holiday,25686667.0
Damian Lillard,25240741.0
Dirk Nowitzki,25000000.0
Otto Porter,24773250.0
Carmelo Anthony,24559380.0
Chris Bosh,24515225.0
CJ McCollum,23962573.0
Andre Drummond,23775506.0
Bradley Beal,23775506.0
Anthony Davis,23775506.0
Hassan Whiteside,23775506.0
Chris Paul,23734161.0
Dwight Howard,23340137.5
Dwyane Wade,23200000.0
Joe Johnson,23180790.0
Harrison Barnes,23112004.0
Chandler Parsons,23112004.0
J.J. Redick,23000000.0
