Player,Salary
Michael Jordan,31640000.0
Patrick Ewing,18181000.0
Kevin Garnett,15403150.0
Magic Johnson,14660000.0
Horace Grant,14571357.0
Karl Malone,14000000.0
Shaquille O'Neal,13928500.25
Alonzo Mourning,13129866.666666666
Juwan Howard,13125000.0
David Robinson,12943707.666666666
Scottie Pippen,12897821.0
Hakeem Olajuwon,12800333.666666666
Rik Smits,12250000.0
Dikembe Mutombo,12019124.5
Jayson Williams,11687500.0
Reggie Miller,11250000.0
Larry Johnson,11048357.0
John Stockton,11000000.0
Rasheed Wallace,10800000.0
Shawn Kemp,10780000.0
Gary Payton,10582387.0
Chris Webber,10500000.0
Charles Oakley,10186000.0
Damon Stoudamire,10125000.0
Rod Strickland,10000000.0
Mitch Richmond,10000000.0
